id,name,nickname,status,bedrooms,bathrooms,accommodates,propertyTypeId,propertyTypeName,roomTypeId,roomTypeName,city,state,country,zipcode,latitude,longitude,basePrice,currency,weeklyDiscount,monthlyDiscount,cleaningFee,securityDeposit,minimumStay,maximumStay,checkInTime,checkOutTime,ownerId,createdAt,updatedAt,channelCount,photoCount,amenityCount
429780,Downtown Access • Huge Backyard • Free Parking,,,,,,2,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
430033,"Nature Escape Villa | Pool, Jacuzzis & Pet-Friendly Stay",,,,,,8,,,,,,,,,,,,,,25,,,,,10,,,,0,0,0
430058,Private Backyard · Firepit · BBQ Grill,,,,,,43,,,,,,,,,,,,,,125,,,,,11,,,,0,0,0
430087,"Walk to Downtown • Fire Pit • Huge Backyard, Free Parking",,,,,,2,,,,,,,,,,,,,,250,,,,,11,,,,0,0,0
430150,Private Deck • Pet Friendly • Spacious Courtyard,,,,,,1,,,,,,,,,,,,,,145,,,,,10,,,,0,0,0
430151,Private Deck • Pet Friendly • Spacious Courtyard,,,,,,1,,,,,,,,,,,,,,145,,,,,10,,,,0,0,0
430401,Pet-Friendly • Spacious Backyard • BBQ Grill,,,,,,2,,,,,,,,,,,,,,200,,,,,11,,,,0,0,0
430453,Prime Location • NYC Luxury Condo • Free Parking,,,,,,1,,,,,,,,,,,,,0.85,200,,,,,10,,,,0,0,0
431033,"Waterfront • Mins from Coachella • Games, FirePit, Grill",,,,,,2,,,,,,,,,,,,,,385,,,,,11,,,,0,0,0
431088,"Family Friendly Sleeps 6, 20 min NYC+FreeParking",,,,,,6,,,,,,,,,,,,,0.85,175,,,,,10,,,,0,0,0
431298,Private Fenced Yard • Fireplace • Free Parking,,,,,,2,,,,,,,,,,,,,,189,,,,,10,,,,0,0,0
431312,Private Fenced Yard • Fireplace • Free Parking,,,,,,2,,,,,,,,,,,,,,210,,,,,10,,,,0,0,0
431719,Hot Tub • Private Gym • Games,,,,,,2,,,,,,,,,,,,,,150,,,,,10,,,,0,0,0
431803,Private Fenced Yard • Free WiFi • Free Parking,,,,,,1,,,,,,,,,,,,,,40,,,,,11,,,,0,0,0
431809,Spacious Backyard • Fireplace • Mins from Downtown,,,,,,2,,,,,,,,,,,,,,300,,,,,10,,,,0,0,0
431942,Rainforest Eco Lodge – Sleeps 33 - Near El Yunque & Culebra Ferry,,,,,,31,,,,,,,,,,,,,,200,,,,,11,,,,0,0,0
432094,Spacious Backyard • Fireplace • Mins from Downtown,,,,,,1,,,,,,,,,,,,,,150,,,,,10,,,,0,0,0
432103,Spacious Backyard • Fireplace • Mins from Downtown,,,,,,1,,,,,,,,,,,,,,150,,,,,10,,,,0,0,0
